S. No.,Name,Short Description,Image URL,Type,Calories (in Kcal),Total Fat (in g),Saturated Fat (in g),Trans Fat (in g),Cholesterol (in mg),Sodium (in mg),Carbohydrate (in g),Dietary Fiber (in g),Sugar (in g),Protein (in g),Calcium (in mg),Iron (in mg),Potassium (in mcg),Vitamin A (in mcg),Vitamin B1 (in mg),Vitamin B2 (in mg),Vitamin B3 (in mg),Vitamin B4 (in mg),Vitamin B5 (in mg),Vitamin B6 (in mg),Vitamin B9 (in mcg),Vitamin B12 (in mcg),Vitamin C (in mg),Vitamin D (in mcg),Vitamin E (in mg),Vitamin K (in mcg),Phosphorus (in mg),Magnesium (in mg),Zinc (in mg),Copper (in mg),Recommended portion (in g)
11,Blueberries,"Blueberries are small, sweet berries known for their rich color and delicious taste. They are packed with antioxidants, vitamins, and fiber, making them a nutritious addition to a balanced diet.",https://images.unsplash.com/photo-1566749928258-4e382b7cb82a?q=80&w=1469&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,57,0.3,0,0,0,1,14.5,2.4,9.7,0.7,6,0.3,77,54,0,0,0.4,0,0.1,0,6,0,9.7,0,0.6,19.3,12,6,0.2,0.1,148
12,Broccoli,"Broccoli is a cruciferous vegetable known for its green, flowery head and stalk. It is rich in vitamins, minerals, and antioxidants, providing various health benefits. Broccoli is often praised for its potential cancer-fighting properties.",https://images.unsplash.com/photo-1584868792839-bff69783216a?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,55,0.6,0.1,0,0,33,11.2,2.6,1.7,3.7,47,0.7,316,31,0.1,0.1,0.6,0,0.6,0.2,63,0,89,0,0.8,101,66,21,0.4,0.1,156
13,Butter,"Butter is a dairy product made from cream, usually from cow's milk. It is commonly used in cooking and baking for its rich flavor and smooth texture. Butter is a source of saturated fats and is often used in moderation as part of a balanced diet.",https://images.unsplash.com/photo-1589985269102-ff38adf6f00d?q=80&w=1467&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegetarian,717,81,51,3,215,643,0.1,0,0.1,0.9,24,0.1,24,684,0,0.1,0.1,3,0.1,0,3,0.1,0,1,2,7,24,2,0.1,0,14
14,Cabbage,"Cabbage is a leafy green or purple vegetable with a dense-leaved head. It belongs to the cruciferous vegetable family and is known for its mild flavor and versatility. Cabbage is a good source of vitamins and fiber.",https://images.unsplash.com/photo-1585520422077-80dfc4d0a683?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,25,0.2,0,0,0,18,5.8,2.5,3.2,1.3,40,0.5,170,5,0.1,0,0.6,6,0.3,0.1,43,0,36.6,0,0.2,76,26,12,0.2,0.1,89
15,Canned Tuna,"Canned Tuna is a popular seafood option that is convenient and versatile. It is often packed in water or oil. Tuna is a good source of protein and omega-3 fatty acids.",https://images.unsplash.com/photo-1593969430155-d2b315c03c6d?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,128,1,0.2,0,32,247,0,0,0,29,13,1.1,273,0,0,0.1,10.8,0,0.5,0.1,0,5.4,0,0,0.3,0.1,274,28,0.6,0,85
16,Carrots,"Carrots are orange-colored root vegetables known for their sweet and crunchy taste. They are rich in beta-carotene, a precursor to vitamin A, and provide various vitamins and minerals.",https://images.unsplash.com/photo-1582515073490-39981397c445?q=80&w=1469&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,41,0.2,0,0,0,69,10,2.8,4.7,0.9,33,0.3,320,835,0,0,0.6,6,0.3,0.1,24,0,5.9,0,0.7,13.2,35,12,0.2,0.1,128
17,Cashew Nuts,"Cashew Nuts are kidney-shaped nuts that are commonly consumed as a snack or used in various culinary applications. They are rich in healthy fats, protein, vitamins, and minerals.",https://images.unsplash.com/photo-1601368148279-b3850a20e65e?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,553,44,8.5,0,0,12,30.2,3.3,6.5,18.2,37,6.7,660,0,0.4,0.1,1.1,0,0.9,0.1,25,0,0.5,0,0.9,34.1,593,292,5.8,2.2,28
18,Catfish,"Catfish is a freshwater fish known for its mild flavor and versatility in cooking. It is a good source of protein, omega-3 fatty acids, and various vitamins and minerals.",https://images.unsplash.com/photo-1662041648634-684d7d09ebbf?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,105,2.2,0.6,0,57,50,0,0,0,20.2,11,0.3,334,6,0.1,0.1,3.4,0,0.5,0.3,2,2.4,0,8.6,0.6,0.1,204,25,0.5,0.1,85
19,Cheese,"Cheese is a dairy product made from milk. Cheddar cheese is a popular type known for its rich and savory flavor. It is a good source of protein, calcium, and fat.",https://images.unsplash.com/photo-1551790629-9d5c2d781d8b?q=80&w=1527&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegetarian,403,33.1,20.8,1.1,105,621,1.3,0,0.5,25,721,0.2,98,820,0,0.4,0.1,0,0.3,0.1,12,1.2,0,1,0.3,2.6,506,20,3.1,0,28
20,Chicken,"Chicken is a popular and versatile meat known for its high protein content. Roasted chicken breast, with skin not eaten, is a lean option that provides essential nutrients.",https://images.unsplash.com/photo-1626645738196-c2a7c87a8f58?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,165,3.6,1,0,85,74,0,0,0,31,11,0.6,256,9,0.1,0.2,13.7,0,0.9,0.6,3,0.3,0,0,0.3,0.3,229,25,1,0,127
21,Chicken Breast,"Chicken Breast is a lean and versatile meat option known for its high protein content. It is commonly cooked skinless and boneless to reduce fat content.",https://images.unsplash.com/photo-1670398564097-0762e1b30b3a?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,165,3.6,1,0,85,74,0,0,0,31,11,0.6,256,9,0.1,0.2,13.7,0,0.9,0.6,3,0.3,0,0,0.3,0.3,229,25,1,0,85
22,Coconut,"Coconut is a tropical fruit known for its sweet and nutty flavor. It is rich in healthy fats, fiber, vitamins, and minerals. Coconut is used in various culinary applications and products.",https://images.unsplash.com/photo-1588413333412-82148535db53?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,354,33.5,29.7,0,0,20,15.2,9,6.2,3.3,14,2.4,356,0,0.1,0.02,0.5,0,0.1,0.1,26,0,3.3,0,0.2,0.6,113,32,1.1,0.5,80
23,Cottage Cheese,"Cottage Cheese is a fresh cheese made from curds. Low-fat cottage cheese is a popular choice for those looking for a lower-calorie and higher-protein dairy option.",https://plus.unsplash.com/premium_photo-1663127123513-a11369f67c8c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegetarian,72,0.4,0.2,0,2,364,3.4,0,3.4,12.4,83,0.1,104,16,0,0.1,0.1,0,0.4,0,6,0.7,0,0,0,0.1,108,8,0.4,0,113
24,Cow's Brain,"Cow's Brain is a type of organ meat that is consumed in various cuisines. It is a rich source of nutrients, including protein, fats, and essential vitamins and minerals.",https://www.doctorkiltz.com/wp-content/uploads/2021/08/AdobeStock_241595420-1030x687.jpeg,Non-Vegetarian,143,10.7,3.2,0,"1,197",52,0,0,0,11.4,6,4.9,318,0,0.1,0.2,1.6,0,0.8,0.1,11,2.5,0,0,0.4,0,204,11,1.8,0.1,81
25,Cow's Whole Milk,"Cow's Milk is a dairy product produced by female cows. It is a rich source of essential nutrients, including calcium, protein, vitamins, and minerals.",https://images.unsplash.com/photo-1559598467-f8b76c8155d0?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegetarian,61,3.2,1.9,0,10,41,4.8,0,5,3.3,120,0,150,61,0.04,0.17,0.1,0,0.4,0.03,5,0.5,0,0.1,0,0.1,93,11,0.4,0,250
26,Crabs,"Crabs are crustaceans commonly consumed as seafood. Blue crab, when cooked, is a good source of protein and various essential nutrients.",https://images.unsplash.com/photo-1588791174744-7e9bf4378277?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,87,1.8,0.2,0,79,324,0,0,0,18,76,1.6,252,11,0.1,0.1,1.8,0,0.1,0.1,6,9,0,0,1.9,0.1,194,48,2.3,0.3,101
27,Crayfish,"Crayfish, also known as crawfish or crawdads, are crustaceans that resemble small lobsters. They are often consumed as seafood and are a good source of protein and essential nutrients.",https://images.unsplash.com/photo-1555709180-40fd7a925918?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,87,1.4,0.2,0,144,151,0,0,0,18,34,1.5,214,0,0.1,0.2,3.5,0,0.7,0.2,10,1.5,0,0,1.2,0.1,155,29,1.2,0.1,97
28,Dark Chocolate,Dark Chocolate with 70-85% cocoa content is a rich and flavorful chocolate variant. It is known for its antioxidant properties and potential health benefits.,https://images.unsplash.com/photo-1604514813560-1e4f5726db65?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,598,42.6,24.9,0,5,15,46.9,10.9,24.2,7.9,73,11.9,715,3,0.05,0.12,1.1,0,0.2,0.1,14,0,0,0,5.7,7.3,206,230,3.3,1.8,28
29,Duck Breast,"Duck Breast is a flavorful and rich meat often cooked to perfection. When prepared without the skin, it provides a good source of protein and essential nutrients.",https://images.unsplash.com/photo-1666781301579-7636c87503fa?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,135,3.6,1,0,68,55,0,0,0,24,11,2.7,310,13,0.1,0.3,8.2,0,0.9,0.3,3,1.8,0,0,0.8,1.5,203,20,2.8,0.1,87
30,Edamame,"Edamame are young soybeans typically served in their pods. They are a nutritious and delicious snack, rich in protein, fiber, and various essential nutrients.",https://images.unsplash.com/photo-1611810174991-5cdd99a2c6b2?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,122,5.2,0.7,0,0,6,11.1,5.2,2.2,11,63,2.1,436,9,0.2,0.2,1.5,0,0.5,0.3,121,0,9.7,0,1,24.8,187,54,1.6,0.2,78
31,Egg Yolks,"Egg Yolks are the yellow, nutrient-dense portion of eggs. They are rich in various vitamins and minerals, including cholesterol, and are often used in cooking and baking.",https://images.unsplash.com/photo-1582169505937-b9992bd01ed9?q=80&w=1410&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,322,27.4,9.7,0.6,"1,100",140,3.6,0,0.6,16,127,4.5,169,673,0.1,1.4,0.7,28,1.5,0.5,147,3.3,0,21,1.8,0.3,630,11,3.6,0.1,50
32,Eggs,"Eggs are a versatile food that is a good source of high-quality protein, vitamins, and minerals. They are commonly used in various culinary applications.",https://images.unsplash.com/photo-1606636661147-51df1c246ccf?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,143,9.5,3.1,0.1,372,142,1.1,0,1.1,13,56,1.8,138,487,0.1,0.5,0.1,28,1.4,0.1,47,1.1,0,2.5,1,0.3,198,12,1.3,0,51
33,Ezekiel Bread,"Ezekiel Bread is a type of bread made from sprouted grains and legumes. It is known for its higher protein and fiber content compared to traditional bread.",https://images.unsplash.com/photo-1509440159596-0249088772ff?q=80&w=1472&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,261,2.6,0.4,0,0,254,49,11,0,15,90,4.1,451,0,0.5,0.2,3.4,0,1.2,0.3,77,0,0,0,1.1,0,318,97,2.7,0.4,34
34,Fish,"Fish is a nutritious source of protein, omega-3 fatty acids, and various essential vitamins and minerals.",https://images.unsplash.com/photo-1584300005420-38486f627b07?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,206,11.4,2.5,0,60,74,0,0,0,22.5,12,0.5,396,0,0.1,0.2,5.4,0,0.7,0.2,6,9,0,0,0.5,0.3,204,27,0.5,0.1,250
35,Flaxseed,"Flaxseed, also known as linseed, is a small seed that is rich in omega-3 fatty acids, fiber, and various essential nutrients.",https://images.unsplash.com/photo-1683766331291-ac921c2f895a?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,534,42.2,3.7,0,0,30,28.9,27.3,1.6,18.3,255,5.7,813,0,1.6,0.2,3.1,0,0.3,0.5,87,0,1.6,0,19.95,4.3,642,392,4.3,1.2,20
36,Grapes,"Grapes are juicy and sweet berries that come in various colors, including red and green. They are rich in antioxidants and provide a good source of vitamins and minerals.",https://images.unsplash.com/photo-1599819177626-b50f9dd21c9b?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,69,0.2,0.1,0,0,2,18,0.9,15,0.6,10,0.4,191,3,0.1,0.1,0.2,0,0.1,0.1,2,0,10.8,0,0.2,14.6,20,7,0.1,0.1,151
37,Greek Yogurt,"Greek Yogurt is a thick and creamy dairy product known for its high protein content. It is made by straining regular yogurt to remove whey, resulting in a thicker consistency.",https://plus.unsplash.com/premium_photo-1666920429649-7562049bb713?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegetarian,59,3.3,2.1,0,10,36,3.6,0,3.6,3.5,110,0.1,141,32,0,0.1,0.1,0,0.2,0,5,0.4,0.2,0,0,0.1,88,11,0.5,0,227
38,Green Chili Pepper,"Green Chili Pepper is a spicy vegetable commonly used in cooking to add heat and flavor to dishes.",https://images.unsplash.com/photo-1524593410820-38510f580a77?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,40,0.2,0,0,0,6,9.3,1.5,5.3,2,9,1,340,"1,299",0.1,0.1,1,0,0.4,0.3,23,0,242,0,0.7,14,43,23,0.3,0.1,30
39,Guavas,"Guavas are tropical fruits that are rich in vitamins, minerals, and dietary fiber. They have a sweet and slightly tart flavor.",https://images.unsplash.com/photo-1634014154598-f8f50ae6bf2a?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,68,0.9,0.3,0,0,2,14,5.4,9,2.6,18,0.3,417,624,0.1,0.04,1,0,0.5,0.1,49,0,228,0,0.7,2.6,22,22,0.2,0.2,244
40,Hard Cheese,"Hard cheese, such as cheddar, is a type of cheese that undergoes an aging process, resulting in a firm texture and a rich flavor.",https://images.unsplash.com/photo-1625084560670-8556c0b5d428?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegetarian,402,33.1,20.8,1.3,105,621,1.3,0,0.1,25,721,0.3,98,932,0,0.4,0.1,0,0.2,0,12,1.3,0,0.7,0.3,2.9,451,28,3.1,0,28
41,Hazelnuts,"Hazelnuts are nuts that come from the hazel tree and are rich in healthy fats, vitamins, and minerals.",https://images.unsplash.com/photo-1635843130314-c0b5cc832b79?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,628,60.8,4.5,0,0,0,16.7,9.7,4.3,14.9,114,4.7,680,0,0.6,0.1,1.8,0,0.9,0.6,113,0,6.3,0,15,14.2,290,163,2.5,0.8,28
42,Kakadu Plum,"Kakadu Plum is a small green fruit native to Northern Australia. It is known for its extremely high vitamin C content and is considered a superfood.",https://karinda.com/cdn/shop/articles/kakadupluminstapic_1600x.jpg?v=1446897845,Vegan,43,0.2,0,0,0,0,9.6,5.4,0,1.2,81,1.9,530,27,0.01,0.02,0.3,0,0.3,0.03,48,0,4813,0,0.9,0.5,27,32,0.2,0.1,43
43,Kiwis,"Kiwis, also known as kiwifruits, are small, fuzzy fruits that are rich in vitamin C and other essential nutrients.",https://images.unsplash.com/photo-1585849469222-fb9abe5404d7?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,61,0.5,0.1,0,0,3,14.6,3,8.9,1.1,34,0.5,312,3,0.03,0.05,0.3,0,0.2,0.1,25,0,92,0,1.5,40.3,34,17,0.1,0.1,100
44,Lamb,"Lamb is meat from young sheep and is a good source of high-quality protein, vitamins, and minerals.",https://images.unsplash.com/photo-1448907503123-67254d59ca4f?q=80&w=1469&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,234,16.1,6.9,0.7,78,71,0,0,0,23.5,13,1.9,256,0,0.1,0.2,7.8,0,0.9,0.3,4,2.8,0,1.1,0.6,2.6,173,20,3.7,0.1,85
45,Legumes,"Legumes are a group of plants that include beans, lentils, peas, and chickpeas. They are a rich source of plant-based protein, fiber, and various vitamins and minerals.",https://images.unsplash.com/photo-1472141521881-95d0e87e2e39?q=80&w=1472&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,116,0.4,0.1,0,0,2,20.8,8,4.5,8.2,49,2.9,384,0,0.2,0.1,1,0,0.4,0.2,209,0,4.8,0,0.4,9,106,48,1.2,0.4,123
46,Lemons,"Lemons are citrus fruits known for their sour taste and high vitamin C content. They are commonly used in culinary and for their refreshing juice.",https://images.unsplash.com/photo-1568569350062-ebfa3cb195df?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,29,0.3,0.1,0,0,2,9.3,2.8,2.5,1.1,26,0.6,138,0,0.04,0.02,0.1,0,0.2,0.1,11,0,53,0,0.2,0.5,16,8,0.1,0.1,58
47,Lentils,"Lentils are legumes that come in various colors and are a rich source of plant-based protein, fiber, and various vitamins and minerals.",https://images.unsplash.com/photo-1638378545909-d78bd9b4271c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,116,0.4,0.1,0,0,2,20.1,7.9,1.8,9,19,3.3,369,0,0.1,0.1,0.5,0,0.6,0.1,179,0,1.5,0,0.5,2.5,180,36,1.5,0.3,99
